Number of agreements,Blockchain size (KB)
10,60
20,96
30,132
40,172
50,208
60,244
70,280
80,316
90,352
100,388
110,424
120,460
130,496
140,532
150,568
160,608
170,644
180,680
190,716
200,752
210,788
220,824
230,860
240,896
250,932
260,968
270,1004
280,1040
290,1076
300,1112
310,1148
320,1184
330,1220
340,1256
350,1292
360,1328
370,1364
380,1400
390,1436
400,1472
410,1508
420,1544
430,1580
440,1616
450,1652
460,1688
470,1724
480,1760
490,1796
500,1832
510,1868
520,1904
530,1940
540,1976
550,2012
560,2048
570,2084
580,2120
590,2156
600,2192
610,2228
620,2264
630,2300
640,2336
650,2372
660,2408
670,2444
680,2480
690,2516
700,2552
710,2588
720,2624
730,2660
740,2696
750,2736
760,2772
770,2808
780,2844
790,2880
800,2916
810,2952
820,2988
830,3024
840,3060
850,3096
860,3132
870,3168
880,3204
890,3240
900,3276
910,3312
920,3348
930,3384
940,3420
950,3456
960,3492
970,3528
980,3564
990,3600
1000,3636
