Number of agreements published,Blockchain size (KB)
10,612
20,648
30,684
40,720
50,756
60,792
70,828
80,864
90,900
100,936
110,972
120,1008
130,1044
140,1080
150,1120
160,1156
170,1192
180,1228
190,1264
200,1300
210,1336
220,1372
230,1408
240,1444
250,1480
260,1516
270,1552
280,1588
290,1624
300,1660
310,1696
320,1732
330,1768
340,1804
350,1840
360,1876
370,1912
380,1948
390,1984
400,2024
410,2060
420,2096
430,2132
440,2168
450,2204
460,2240
470,2276
480,2312
490,2348
500,2384
510,2420
520,2456
530,2492
540,2528
550,2564
560,2600
570,2636
580,2672
590,2708
600,2744
610,2780
620,2816
630,2852
640,2888
650,2928
660,2964
670,3000
680,3036
690,3072
700,3108
710,3144
720,3180
730,3216
740,3252
750,3288
760,3324
770,3360
780,3396
790,3432
800,3468
810,3504
820,3540
830,3576
840,3612
850,3648
860,3684
870,3720
880,3756
890,3792
900,3828
910,3868
920,3904
930,3940
940,3976
950,4012
960,4048
970,4084
980,4120
990,4156
1000,4192
