Number of measurements published,Blockchain size (KB)
10,4228
20,4264
30,4304
40,4340
50,4376
60,4412
70,4452
80,4488
90,4524
100,4564
110,4600
120,4636
130,4672
140,4712
150,4748
160,4784
170,4820
180,4860
190,4896
200,4932
210,4968
220,5008
230,5044
240,5080
250,5120
260,5156
270,5192
280,5228
290,5268
300,5304
310,5340
320,5376
330,5416
340,5452
350,5488
360,5524
370,5564
380,5600
390,5636
400,5672
410,5712
420,5748
430,5784
440,5824
450,5860
460,5896
470,5932
480,5972
490,6008
500,6044
510,6080
520,6120
530,6156
540,6192
550,6228
560,6268
570,6304
580,6340
590,6380
600,6416
610,6452
620,6488
630,6528
640,6564
650,6600
660,6636
670,6676
680,6712
690,6748
700,6784
710,6824
720,6860
730,6896
740,6936
750,6972
760,7008
770,7044
780,7084
790,7120
800,7156
810,7192
820,7232
830,7268
840,7304
850,7340
860,7380
870,7416
880,7452
890,7492
900,7528
910,7564
920,7600
930,7640
940,7676
950,7712
960,7748
970,7788
980,7824
990,7860
1000,7896
