Number of agreements published,Blockchain size (KB)
10,612
20,648
30,684
40,720
50,752
60,788
70,824
80,860
90,896
100,932
110,968
120,1004
130,1040
140,1076
150,1108
160,1144
170,1180
180,1216
190,1252
200,1288
210,1324
220,1360
230,1396
240,1432
250,1464
260,1500
270,1536
280,1572
290,1608
300,1644
310,1680
320,1716
330,1752
340,1788
350,1820
360,1856
370,1892
380,1928
390,1964
400,2000
410,2036
420,2072
430,2108
440,2144
450,2176
460,2212
470,2248
480,2284
490,2320
500,2356
510,2392
520,2428
530,2464
540,2500
550,2532
560,2568
570,2604
580,2640
590,2676
600,2712
610,2748
620,2784
630,2820
640,2856
650,2888
660,2924
670,2960
680,2996
690,3032
700,3068
710,3104
720,3140
730,3176
740,3212
750,3244
760,3280
770,3316
780,3352
790,3388
800,3424
810,3460
820,3496
830,3532
840,3568
850,3604
860,3636
870,3672
880,3708
890,3744
900,3780
910,3816
920,3852
930,3888
940,3924
950,3960
960,3992
970,4028
980,4064
990,4100
1000,4136
