Number of measurements published,Blockchain size (KB)
10,4172
20,4208
30,4244
40,4284
50,4320
60,4356
70,4392
80,4428
90,4464
100,4500
110,4536
120,4576
130,4612
140,4648
150,4684
160,4720
170,4756
180,4792
190,4828
200,4868
210,4904
220,4940
230,4976
240,5012
250,5048
260,5084
270,5120
280,5160
290,5196
300,5232
310,5268
320,5304
330,5340
340,5376
350,5412
360,5452
370,5488
380,5524
390,5560
400,5596
410,5632
420,5668
430,5704
440,5744
450,5780
460,5816
470,5852
480,5888
490,5924
500,5960
510,5996
520,6036
530,6072
540,6108
550,6144
560,6180
570,6216
580,6252
590,6288
600,6328
610,6364
620,6400
630,6436
640,6472
650,6508
660,6544
670,6584
680,6620
690,6656
700,6692
710,6728
720,6764
730,6800
740,6836
750,6876
760,6912
770,6948
780,6984
790,7020
800,7056
810,7092
820,7128
830,7168
840,7204
850,7240
860,7276
870,7312
880,7348
890,7384
900,7420
910,7460
920,7496
930,7532
940,7568
950,7604
960,7640
970,7676
980,7712
990,7752
1000,7788
